Citation,Topics,,,,,States and Union Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Years of Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citation,Diet,Disease Ecology (and Health),Habitat,Movement Ecology,Toxicology,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
"Senacha, K. R. (2010): Status survey and conservation education: community participation to protect bats in Thar Desert, India. Small Mammal Mail, 2 (1): 24 - 30.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2012): Status survey and conservation education: A community participation to protect bats in Thar Desert. Small Mammal Mail, 2 (1): 24 - 30.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joshi, A.; Rawat, M.;  Senacha, K. R.; Bohra, M. and Dookia, S.  (2021): Juvenile feeding behaviour in Lesser Mouse-tailed Bat. TidBits, Zoo's Print, Vol. 36 (10): 10 - 11.",,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joshi, A.; Senacha, K. R.; Rawat, M.; Dookia, S. and  Bohra, M.  (2021): Roost and foraging behaviour of Fulvous Fruit Bat.  Small Mammal Mail, Zoo's Print, Vol. 36 (11): 30 - 33.",,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joshi, A.; Senacha, K. R.; Rawat, M.; Dookia, S. and  Dharmaraj, J.  (2022): Observation on peculiar roosting behaviour of Greater False Vampire Bat .  Small Mammal Mail, Zoo's Print, Vol. 37 (1): 63 - 66.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purohit, A. and Senacha, K. R. (2002): Prakriti kee anupam kriti chamagadaden. Vigyan Pragati, 12: 40 - 44.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purohit, A. and Senacha, K. R. (2004): The misunderstood ally. Hornbill, January-March: 30 - 32.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2006): Desert bats of India. Sanctuary Asia, XXVI (4): 52 - 57.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2006): Your friendly neighbourhood bats. Science Reporter, 43(11): 27 - 29.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2007): Nightlife in the Thar. Srishti, VII (V): 66 - 72.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2009): Baby bats of the Thar. Hornbill, January – March: 4 – 8.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2008): Bats of the Thar Desert, Rajasthan. In: Conserving Biodiversity of Rajasthan (with emphasis on wild fauna and flora) (Ed: Ashok K. Verma), Himanshu Publications, Udaipur, India: 22 - 24.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2009): Status survey and conservation education campaign: a community participation approach to protect bats in the Thar Desert, India. Final Report, The Rufford Small Grants Foundation Project Ref. No. 06.08.07, 1 - 67.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2012): Status survey and conservation education campaign: a community participation approach to protect bats in Rajasthan parts of the Thar Desert. Final Report, The Rufford Small Grants Foundation Project Ref. No. 8400 - 2: 1 - 91.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
