S.No.,Family,English Name,Scientific Name,Authority,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Gujarat,Goa,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhaya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttarpradesh,Uttarakhand,West Bengal,Andaman & Nicobar,Chandigarh,"Dadra Nagar Haveli, Daman & Diu",Delhi,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry
39,Hipposideridae,Dusky Leaf-nosed Bat,Hipposideros ater,"Templeton, 1848",0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,Uttam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
40,Hipposideridae,Kelaart’s Leaf-nosed Bat,Hipposideros lankadiva,"Kelaart, 1850",1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,Uttam,0,0,1,0,0,0,0,0,0,0,0
41,Hipposideridae,Ashy Leaf-nosed Bat,Hipposideros cineraceus,"Blyth, 1853",0,1,1,0,1,0,0,Uttam,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
42,Hipposideridae,Nicobar Leaf-nosed Bat,Hipposideros nicobarulae,"Miller, 1902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,Hipposideridae,Andersen’s Leaf-nosed Bat,Hipposideros gentilis,"K. Andersen, 1918",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
44,Hipposideridae,Pomona Leaf-nosed Bat,Hipposideros pomona,"K. Andersen, 1918",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Hipposideridae,Horsefield's Leaf-nosed Bat,Hipposideros larvatus,"(Horsfield, 1823)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Uttam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,Hipposideridae,Durga Das’s Leaf-nosed Bat,Hipposideros durgadasi,"Khajuria, 1970",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
47,Hipposideridae,Leafletted Leaf-nosed Bat,Hipposideros hypophyllus,"Kock and Bhat, 1994",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Megadermatidae,Greater False Vampire Bat,Lyroderma lyra,"(E. Geoffroy, 1810)",1,1,1,1,1,1,Uttam,Uttam,1,1,1,1,1,1,0,1,0,Uttam,1,0,1,Uttam,1,1,1,1,1,1,0,0,Uttam,1,1,0,0,0
49,Megadermatidae,Lesser False Vampire Bat,Megaderma spasma,"(Linnaeus, 1758)",1,0,1,0,0,1,1,0,0,0,1,1,Uttam,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
