database,id,latitude,longitude,scientific_name,rank,taxon_id
ibp,387124,15.98860455,78.92008209,Hipposideros lankadiva Kelaart 1850,species,NA
ibp,386774,19.64163589,74.48187256,Cynopterus sphinx (Vahl 1797),species,NA
ibp,385753,27.88374329,79.9122467,Pteropus giganteus (Brünnich 1782),species,NA
ibp,385064,9.619706154,76.40716553,Cynopterus sphinx (Vahl 1797),species,NA
ibp,385063,9.619706154,76.40716553,Cynopterus sphinx (Vahl 1797),species,NA
ibp,384118,16.57946014,73.8977356,Rhinolophus beddomei K. Andersen 1905,species,NA
ibp,379465,14.64288425,75.70438385,Rhinopoma microphyllum (Brünnich 1782),species,NA
ibp,375037,17.71099472,73.88848877,Pteropus giganteus (Brünnich 1782),species,NA
ibp,374680,26.06586266,76.4342804,Pteropus giganteus (Brünnich 1782),species,NA
ibp,372885,14.34372711,75.73922729,Pteropus giganteus (Brünnich 1782),species,NA
ibp,372044,14.33666515,75.70435333,Kerivoula picta (Pallas 1767),species,NA
ibp,372006,14.3443346,75.72905731,Cynopterus sphinx (Vahl 1797),species,NA
ibp,370847,14.35921764,75.74254608,Pteropus giganteus (Brünnich 1782),species,NA
ibp,369622,14.33626461,75.70652008,Kerivoula picta (Pallas 1767),species,NA
ibp,369528,12.42155647,76.69313049,Rhinolophus rouxii Temminck 1835,species,NA
ibp,368226,12.22528458,79.0746994,Hipposideros,genus,NA
ibp,356094,11.61550426,92.61925507,Rhinolophus yunanensis Dobson 1872,species,NA
ibp,353972,22.57264519,88.3638916,Pteropus giganteus (Brünnich 1782),species,NA
ibp,353825,23.69530678,88.02674866,Pteropus giganteus (Brünnich 1782),species,NA
ibp,352442,9.498066902,76.33885193,Pteropus giganteus (Brünnich 1782),species,NA
ibp,352307,22.57264519,88.3638916,Pteropus giganteus (Brünnich 1782),species,NA
ibp,349987,24.43202019,92.33068848,Pipistrellus,genus,NA
ibp,346578,10.53815079,76.13722992,Cynopterus sphinx (Vahl 1797),species,NA
ibp,345751,9.580895424,77.11399841,Rhinolophus beddomei K. Andersen 1905,species,NA
ibp,339526,17.38274956,78.28170776,Pteropus giganteus (Brünnich 1782),species,NA
